[2017-11-02 17:10:39:0098] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 17:10:40:0496] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 17:10:41:0682] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:41:0820] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:41:0889] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:42:0015] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:42:0081] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:42:0221] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:42:0304] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:42:0421] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:42:0492] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:42:0654] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:42:0709] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:42:0864] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:42:0920] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:43:0057] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:43:0125] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:43:0255] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:43:0387] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:43:0449] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:43:0508] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:43:0668] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:43:0729] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:43:0853] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:43:0932] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:44:0051] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:44:0111] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:44:0265] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:44:0327] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:44:0460] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:44:0516] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:44:0632] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:44:0699] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:44:0838] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:44:0910] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:45:0014] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:45:0080] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:45:0141] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:45:0418] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:45:0482] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:45:0549] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:45:0697] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:45:0859] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:45:0919] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:46:0056] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:46:0114] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:46:0246] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:46:0305] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:46:0455] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:46:0510] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:46:0643] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:46:0698] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:46:0758] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:46:0890] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:46:0957] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:47:0110] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:47:0267] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:47:0326] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:47:0442] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:47:0507] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:47:0563] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:47:0696] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:47:0771] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:47:0927] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:48:0062] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:48:0152] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:48:0274] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:48:0351] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:48:0471] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:48:0527] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:48:0582] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:48:0703] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:48:0758] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:48:0913] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:48:0968] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:49:0102] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:49:0164] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:49:0290] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:49:0350] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:49:0494] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:49:0567] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:49:0686] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:49:0740] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:49:0878] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:49:0938] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:50:0082] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:50:0148] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:50:0290] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:50:0352] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:50:0499] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:50:0561] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:50:0698] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:50:0772] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:50:0914] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:50:0987] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:51:0126] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:51:0194] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:51:0318] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:51:0385] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:51:0557] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:51:0690] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:51:0774] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:51:0902] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:51:0959] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:52:0109] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:52:0183] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:52:0350] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:52:0405] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:52:0573] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:52:0740] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:52:0822] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:52:0995] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:53:0115] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:53:0193] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:53:0331] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:53:0415] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:53:0531] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:53:0602] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:53:0741] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:53:0800] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:53:0956] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:54:0009] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:54:0155] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:54:0238] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:54:0421] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:54:0548] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:54:0615] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:54:0764] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:54:0818] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:54:0971] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:55:0120] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:55:0187] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:55:0337] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:55:0396] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:10:55:0547] | CInterfaceManager.cpp-L2846: delete one DataNode
