[2017-11-02 16:03:58:0674] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 16:04:00:0065] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 16:04:15:0702] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:15:0775] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:15:0836] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:15:0902] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:15:0968] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0040] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0106] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0173] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0239] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0306] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0372] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0438] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0506] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0574] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0640] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0706] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0774] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0838] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0905] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:16:0972] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:17:0037] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:04:17:0105] | CInterfaceManager.cpp-L2846: delete one DataNode
