[2017-11-02 17:07:44:0265] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 17:07:45:0682] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 17:08:18:0099] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:18:0164] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:18:0231] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:18:0308] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:18:0362] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:18:0430] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:18:0497] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:18:0570] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:18:0637] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:18:0708] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:18:0790] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:18:0863] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:18:0919] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:18:0972] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0034] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0105] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0164] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0237] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0318] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0397] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0463] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0519] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0572] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0645] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0699] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0784] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0865] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0927] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:19:0987] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0049] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0104] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0168] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0235] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0294] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0361] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0447] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0496] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0564] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0638] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0696] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0764] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0838] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0893] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:20:0965] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:21:0027] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:21:0106] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:21:0182] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:21:0237] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:21:0303] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:21:0381] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:21:0459] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:21:0520] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:21:0582] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:08:21:0643] | CInterfaceManager.cpp-L2846: delete one DataNode
