[2017-11-02 16:55:07:0211] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 16:55:08:0567] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 16:55:23:0153] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:23:0208] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:23:0268] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:23:0341] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:23:0426] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:23:0484] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:23:0550] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:23:0606] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:23:0673] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:23:0741] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:23:0803] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:23:0880] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:23:0936] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0001] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0066] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0144] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0210] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0275] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0342] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0416] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0487] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0566] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0633] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0706] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0760] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0816] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:55:24:0869] | CInterfaceManager.cpp-L2846: delete one DataNode
