[2017-11-09 13:34:42:0287] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-09 13:34:42:0846] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-09 13:34:44:0190] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:44:0384] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:44:0456] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:44:0607] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:44:0761] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:44:0831] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:44:0981] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:45:0167] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:45:0238] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:45:0416] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:45:0585] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:45:0659] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:45:0842] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:45:0992] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:46:0065] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:46:0223] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:46:0368] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:46:0445] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:46:0594] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:46:0677] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:46:0828] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:46:0985] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:47:0053] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:47:0244] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:47:0456] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:47:0606] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:47:0676] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:47:0828] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:48:0021] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:48:0090] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:48:0240] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:48:0393] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:48:0476] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:48:0616] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:48:0695] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:48:0846] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:49:0022] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:49:0094] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:49:0274] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:49:0421] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:49:0497] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:49:0647] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 13:34:49:0800] | CInterfaceManager.cpp-L2846: delete one DataNode
