[2017-11-02 16:07:40:0841] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 16:07:42:0229] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 16:07:57:0736] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:57:0802] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:57:0867] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:57:0933] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:57:0998] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0070] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0136] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0202] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0268] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0333] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0400] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0472] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0533] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0604] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0668] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0734] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0801] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0865] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:58:0931] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0003] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0067] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0134] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0200] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0271] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0333] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0404] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0469] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0535] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0601] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0667] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0734] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0804] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0869] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:07:59:0931] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0002] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0069] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0136] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0202] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0267] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0334] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0399] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0463] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0530] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0600] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0665] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0732] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0797] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0868] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0936] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:00:0996] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0066] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0132] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0198] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0263] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0330] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0400] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0466] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0533] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0603] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0663] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0737] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0797] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0862] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0929] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:01:0994] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0065] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0132] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0196] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0267] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0334] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0398] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0462] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0536] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0595] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0666] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0733] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0798] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0865] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:02:0931] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0002] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0067] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0134] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0198] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0263] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0329] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0395] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0459] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0532] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0596] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0661] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0728] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0798] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0862] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0929] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:03:0994] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:04:0065] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:04:0131] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:04:0196] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:04:0267] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:04:0334] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:04:0397] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:04:0462] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:04:0529] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:04:0594] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:04:0664] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:08:04:0729] | CInterfaceManager.cpp-L2846: delete one DataNode
