[2017-11-06 11:03:35:0964] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(1020002)
[2017-11-06 11:03:37:0345] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-06 11:03:38:0470] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:38:0537] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:38:0671] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:38:0753] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:38:0870] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:38:0932] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:39:0069] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:39:0131] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:39:0271] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:39:0333] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:39:0475] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:39:0537] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:39:0667] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:39:0739] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:39:0864] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:39:0937] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:40:0073] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:40:0136] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:40:0262] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:40:0335] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:40:0470] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:40:0532] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:40:0667] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:40:0730] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:40:0864] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:40:0931] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:41:0062] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:41:0135] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:41:0275] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:41:0338] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:41:0463] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:41:0536] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:41:0661] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:41:0733] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:41:0867] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:41:0930] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:42:0064] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:42:0126] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:42:0267] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:42:0329] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:42:0464] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:42:0526] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:42:0667] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:42:0730] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:42:0864] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:42:0926] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:43:0065] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:43:0137] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:43:0261] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:43:0328] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:43:0463] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:43:0526] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:43:0665] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:43:0728] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:43:0867] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:43:0929] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:44:0060] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:44:0128] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:44:0262] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:44:0325] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:44:0465] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:44:0528] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:44:0693] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:44:0726] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:44:0863] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:44:0926] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:45:0068] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:45:0127] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:03:45:0189] | CInterfaceManager.cpp-L2846: delete one DataNode
