[2017-11-02 17:00:11:0087] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 17:00:12:0500] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 17:00:14:0636] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:14:0934] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:15:0159] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:15:0360] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:15:0564] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:16:0056] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:16:0177] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:16:0577] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:16:0993] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:17:0296] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:17:0687] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:17:0800] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:18:0102] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:18:0296] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:18:0413] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:18:0628] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:18:0901] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:19:0021] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:19:0306] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:19:0516] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:19:0749] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:19:0946] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:20:0354] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:20:0544] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:20:0732] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:20:0944] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:21:0080] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:21:0364] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:21:0593] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:21:0792] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:22:0102] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:22:0409] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:22:0597] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:22:0805] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:23:0606] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:23:0822] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:24:0024] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:24:0247] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:24:0441] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:24:0623] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:24:0842] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:25:0050] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:25:0248] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:25:0474] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:25:0743] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:25:0883] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:26:0281] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:26:0677] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:26:0975] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:00:27:0187] | CInterfaceManager.cpp-L2846: delete one DataNode
