[2017-11-02 15:49:37:0630] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 15:49:39:0014] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 15:49:40:0140] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:40:0205] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:40:0359] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:40:0413] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:40:0535] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:40:0609] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:40:0738] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:40:0806] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:40:0939] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:41:0001] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:41:0139] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:41:0204] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:41:0337] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:41:0404] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:41:0531] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:41:0603] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:41:0741] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:41:0802] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:41:0939] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:42:0001] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:42:0132] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:42:0203] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:42:0334] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:42:0404] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:42:0534] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:42:0600] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:42:0664] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:42:0797] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:42:0869] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:43:0001] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:43:0144] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:43:0199] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:43:0265] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:43:0414] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:43:0467] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:43:0614] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:43:0666] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:43:0796] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:43:0867] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:44:0015] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:44:0067] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:44:0227] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:49:44:0282] | CInterfaceManager.cpp-L2846: delete one DataNode
