[2018-01-22 12:51:31:0109] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(1020002)
[2018-01-22 12:51:32:0362] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2018-01-22 12:51:48:0406] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:51:50:0338] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:51:51:0934] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:51:53:0866] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:51:55:0266] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:51:56:0731] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:51:58:0196] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:51:59:0662] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:01:0255] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:02:0928] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:04:0326] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:05:0724] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:07:0522] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:09:0122] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:10:0852] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:12:0383] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:14:0045] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:15:0648] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:17:0245] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:18:0781] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:20:0510] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:22:0175] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:23:0701] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:25:0033] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:26:0833] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:28:0231] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:29:0765] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:31:0367] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:32:0692] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:33:0961] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:35:0356] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:37:0033] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:38:0425] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:39:0953] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:41:0620] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:43:0152] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:45:0020] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:46:0416] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:47:0814] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:49:0009] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:50:0809] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:52:0209] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:53:0942] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:55:0074] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:56:0674] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:58:0068] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:52:59:0542] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:01:0003] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:02:0535] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:03:0931] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:05:0530] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:06:0860] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:08:0595] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:10:0131] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:11:0860] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:13:0456] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:14:0852] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:16:0654] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:18:0184] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:19:0851] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:21:0583] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:23:0113] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:24:0782] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:26:0308] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:28:0044] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:29:0707] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:31:0372] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:32:0970] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:34:0436] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:36:0170] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:37:0499] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:39:0504] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:40:0632] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:41:0897] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:43:0559] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:44:0960] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:46:0621] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:48:0024] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:49:0557] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:50:0818] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:52:0622] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:54:0216] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:55:0884] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:57:0550] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:53:59:0214] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:00:0609] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:02:0143] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:03:0539] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:05:0070] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:06:0804] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:08:0473] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:09:0937] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:11:0468] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:12:0938] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:14:0267] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:16:0534] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:18:0593] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:20:0390] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:21:0925] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:23:0390] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:25:0854] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 12:54:28:0249] | CInterfaceManager.cpp-L2846: delete one DataNode
