[2017-11-02 16:39:15:0440] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 16:39:16:0853] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 16:39:31:0916] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:31:0981] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0046] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0113] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0172] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0238] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0310] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0405] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0470] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0542] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0609] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0673] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0734] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0787] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0858] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:32:0918] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0002] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0090] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0189] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0253] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0314] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0375] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0435] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0497] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0568] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0629] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0714] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0772] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0838] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:39:33:0904] | CInterfaceManager.cpp-L2846: delete one DataNode
