[2017-11-09 14:13:28:0764] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-09 14:13:29:0186] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-09 14:13:30:0579] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:30:0730] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:30:0802] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:30:0952] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:31:0133] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:31:0285] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:31:0355] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:31:0521] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:31:0592] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:31:0739] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:31:0895] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:31:0972] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:32:0124] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:32:0196] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:32:0345] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:32:0551] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:32:0613] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:32:0765] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:32:0948] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:33:0018] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:33:0198] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:33:0350] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:33:0427] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:33:0572] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:33:0721] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:33:0796] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:33:0993] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:34:0138] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:34:0215] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:34:0363] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:34:0434] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:34:0602] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:34:0815] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:34:0987] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:35:0134] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:35:0213] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:35:0388] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:35:0539] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:35:0614] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:35:0806] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:35:0957] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:36:0033] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:36:0194] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:36:0386] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:36:0451] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:36:0627] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:36:0773] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:36:0860] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:37:0006] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:37:0204] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:37:0382] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:37:0462] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:37:0620] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:37:0789] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:38:0047] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:38:0049] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:38:0197] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:38:0270] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:38:0454] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:38:0599] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:38:0672] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:38:0823] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:39:0006] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:39:0161] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:39:0230] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:39:0458] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:39:0461] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:39:0605] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:39:0680] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:39:0825] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:39:0976] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:40:0054] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:40:0282] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:40:0285] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:40:0440] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:40:0644] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:40:0842] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:41:0084] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:41:0087] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:41:0280] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:41:0437] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:41:0598] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:41:0673] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:41:0821] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:41:0893] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:42:0053] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:42:0233] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:42:0305] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:42:0467] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:42:0625] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:42:0702] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:42:0851] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:43:0033] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:43:0103] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:43:0295] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:43:0444] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:43:0521] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:43:0670] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:43:0817] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:43:0892] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:44:0065] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:44:0210] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:44:0286] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:44:0464] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:44:0617] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:44:0692] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:44:0841] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:44:0921] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:45:0068] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:45:0261] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:45:0326] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:45:0478] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:45:0638] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:45:0706] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:45:0856] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:45:0929] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:46:0089] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:46:0287] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:46:0467] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:46:0537] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:46:0689] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:46:0867] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:46:0938] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:47:0091] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:47:0239] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:47:0311] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:47:0462] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:47:0540] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:47:0719] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:47:0864] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:47:0940] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:48:0118] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:48:0266] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:48:0340] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:48:0508] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:48:0683] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:48:0758] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:48:0939] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:49:0094] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:49:0165] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:49:0310] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:49:0463] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:49:0542] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:49:0689] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:13:49:0760] | CInterfaceManager.cpp-L2846: delete one DataNode
