[2017-11-02 15:59:51:0293] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 15:59:52:0691] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 16:00:08:0120] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:08:0268] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:08:0321] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:08:0379] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:08:0434] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:08:0485] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:08:0542] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:08:0600] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:08:0665] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:08:0731] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:08:0802] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:08:0864] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:08:0930] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:08:0997] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:09:0068] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:09:0131] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:09:0197] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:09:0268] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:09:0331] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:00:09:0432] | CInterfaceManager.cpp-L2846: delete one DataNode
