[2017-11-09 14:09:38:0388] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-09 14:09:38:0839] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-09 14:09:40:0228] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:40:0378] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:40:0447] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:40:0597] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:40:0746] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:40:0819] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:40:0972] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:41:0044] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:41:0202] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:41:0351] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:41:0428] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:41:0576] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:41:0648] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:41:0801] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:41:0960] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:42:0032] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:42:0190] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:42:0266] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:42:0418] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:42:0565] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:42:0643] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:42:0820] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:42:0977] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:43:0045] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:43:0274] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:43:0277] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:43:0424] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:43:0657] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:43:0727] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:43:0795] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-09 14:09:43:0883] | CInterfaceManager.cpp-L2846: delete one DataNode
