[2017-11-02 17:02:20:0299] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 17:02:21:0700] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 17:02:40:0619] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:40:0691] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:40:0774] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:40:0839] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:40:0922] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:40:0971] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0032] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0087] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0146] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0213] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0281] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0341] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0401] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0469] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0560] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0632] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0687] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0764] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0834] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0891] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:41:0951] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0005] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0072] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0137] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0243] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0298] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0360] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0419] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0474] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0557] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0621] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0687] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0742] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0808] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0892] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:42:0963] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:43:0022] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:43:0100] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:43:0178] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:43:0246] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:43:0301] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:43:0367] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:02:43:0439] | CInterfaceManager.cpp-L2846: delete one DataNode
