[2017-11-13 15:26:34:0469] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-13 15:26:35:0019] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-13 15:26:36:0470] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:36:0617] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:36:0685] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:36:0834] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:36:0917] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:37:0102] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:37:0255] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:37:0334] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:37:0486] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:37:0555] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:37:0787] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:37:0856] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:37:0935] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:38:0003] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:38:0171] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:38:0356] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:38:0503] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:38:0587] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:38:0656] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:38:0819] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:38:0978] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:39:0055] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:39:0239] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:39:0404] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:39:0556] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-13 15:26:39:0630] | CInterfaceManager.cpp-L2846: delete one DataNode
