[2018-01-22 15:18:47:0304] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(1020002)
[2018-01-22 15:18:48:0557] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2018-01-22 15:19:13:0588] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:16:0721] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:19:0782] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:22:0712] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:25:0445] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:28:0645] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:30:0971] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:33:0768] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:36:0631] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:39:0629] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:42:0691] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:45:0289] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:48:0288] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:51:0217] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:54:0214] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:57:0077] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:19:59:0940] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:20:02:0671] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:20:05:0806] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:20:08:0799] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:20:11:0863] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:20:14:0998] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:20:17:0724] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:20:20:0926] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:20:23:0853] | CInterfaceManager.cpp-L2846: delete one DataNode
