[2017-11-02 15:54:35:0324] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 15:54:36:0730] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 15:54:52:0045] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:52:0132] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:52:0186] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:52:0249] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:52:0305] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:52:0376] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:52:0437] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:52:0504] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:52:0576] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:52:0638] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:52:0703] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:52:0772] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:52:0925] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:52:0965] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:53:0065] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:53:0149] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:53:0205] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:53:0345] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:53:0391] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:53:0448] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:53:0505] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:53:0571] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:53:0639] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:53:0708] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:53:0770] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:53:0834] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:53:0976] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 15:54:54:0048] | CInterfaceManager.cpp-L2846: delete one DataNode
