[2017-11-06 10:53:54:0192] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(1020002)
[2017-11-06 10:53:55:0440] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-06 10:53:56:0562] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:56:0629] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:56:0769] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:56:0831] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:56:0965] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:57:0037] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:57:0163] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:57:0230] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:57:0366] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:57:0428] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:57:0571] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:57:0655] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:57:0772] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:57:0834] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:57:0970] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:58:0032] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:58:0167] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:58:0234] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:58:0365] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:53:58:0427] | CInterfaceManager.cpp-L2846: delete one DataNode
