[2017-11-06 11:05:25:0114] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(1020002)
[2017-11-06 11:05:26:0553] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-06 11:05:27:0676] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:27:0738] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:27:0874] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:27:0951] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:28:0074] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:28:0141] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:28:0274] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:28:0346] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:28:0476] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:28:0538] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:28:0674] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:28:0741] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:28:0871] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:28:0948] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:29:0075] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:29:0142] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:29:0273] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:29:0340] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:29:0476] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:29:0548] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:29:0679] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:29:0741] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:29:0871] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:29:0938] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:30:0078] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:30:0145] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:30:0281] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:30:0343] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:30:0478] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:30:0545] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:30:0675] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:30:0737] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:30:0876] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:30:0943] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:31:0073] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:31:0141] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:31:0270] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:31:0347] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:31:0476] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:31:0540] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:31:0675] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:31:0742] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:31:0876] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:31:0943] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:32:0073] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:05:32:0136] | CInterfaceManager.cpp-L2846: delete one DataNode
