[2017-11-06 10:58:40:0252] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(1020002)
[2017-11-06 10:58:41:0654] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-06 10:58:42:0769] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:42:0847] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:42:0970] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:43:0042] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:43:0172] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:43:0244] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:43:0368] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:43:0445] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:43:0584] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:43:0640] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:43:0771] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:43:0843] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:43:0978] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:44:0037] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:44:0172] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:44:0234] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:44:0369] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:44:0441] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:44:0571] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:44:0643] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:44:0772] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:44:0844] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:44:0972] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:45:0041] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:45:0175] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:45:0237] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 10:58:45:0299] | CInterfaceManager.cpp-L2846: delete one DataNode
