[2017-11-02 16:06:17:0591] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 16:06:18:0976] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 16:06:22:0627] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:22:0694] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:22:0761] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:22:0826] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:22:0893] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:22:0962] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0027] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0095] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0161] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0227] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0295] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0361] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0427] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0495] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0557] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0628] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0690] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0756] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0826] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0894] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:23:0961] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0027] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0089] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0155] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0228] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0295] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0355] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0427] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0488] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0561] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0631] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0692] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0758] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0826] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0888] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:24:0959] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:25:0024] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:25:0092] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:06:25:0159] | CInterfaceManager.cpp-L2846: delete one DataNode
