[2017-11-02 16:57:59:0943] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 16:58:01:0355] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 16:58:02:0477] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:02:0537] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:02:0708] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:02:0768] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:02:0885] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:02:0952] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:03:0078] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:03:0139] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:03:0283] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:03:0344] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:03:0500] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:03:0556] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:03:0695] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:03:0751] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:03:0873] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:03:0937] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:04:0115] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:04:0164] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:04:0290] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:04:0344] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:04:0483] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:04:0544] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:04:0685] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:04:0739] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:04:0894] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:04:0949] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:05:0122] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:05:0184] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:05:0295] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:05:0350] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:05:0477] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:05:0549] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:05:0681] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:05:0755] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:05:0904] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:05:0958] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:06:0074] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:06:0147] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:06:0201] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:06:0346] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:06:0401] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:06:0538] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:06:0603] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:06:0751] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:06:0804] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:06:0942] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:07:0007] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:07:0139] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:07:0203] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:07:0359] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:07:0411] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:07:0563] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:07:0725] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:07:0785] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:07:0900] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:07:0955] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:08:0002] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:08:0181] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:08:0295] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:08:0352] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:08:0399] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:08:0552] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:08:0607] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:08:0740] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:08:0806] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:08:0973] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:09:0027] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:09:0140] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:09:0201] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:09:0335] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:09:0402] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:09:0536] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:09:0601] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:09:0746] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:09:0799] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:09:0990] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:10:0109] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:10:0171] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:10:0231] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:10:0347] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:10:0424] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:10:0557] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:10:0625] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:10:0749] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:10:0803] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:10:0949] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:11:0015] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:11:0138] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:11:0204] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:11:0341] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:11:0406] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:11:0538] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:11:0598] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:11:0749] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:11:0809] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:11:0939] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:12:0010] | CInterfaceManager.cpp-L2846: delete one DataNode
