[2017-11-02 16:57:59:0943] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 16:58:12:0133] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:12:0209] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:12:0337] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:12:0408] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:12:0469] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:12:0609] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:12:0748] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:12:0858] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:13:0010] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:13:0141] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:13:0201] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:13:0271] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:13:0427] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:13:0559] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:13:0644] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:13:0790] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:13:0852] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:13:0978] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:14:0033] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:14:0087] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:14:0242] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:14:0360] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:14:0421] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:14:0588] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:14:0641] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:14:0783] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:14:0839] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:14:0893] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:15:0074] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:15:0254] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:15:0376] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:15:0432] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:15:0492] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:15:0623] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:15:0684] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:15:0816] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:15:0871] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:16:0001] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:16:0057] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:16:0198] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:16:0260] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:16:0398] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:16:0471] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:16:0598] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:16:0659] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:16:0824] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:16:0890] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:17:0022] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:17:0083] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:17:0244] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:17:0300] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:17:0420] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:17:0492] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:17:0633] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:17:0693] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:17:0850] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:17:0909] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:18:0029] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:18:0091] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:18:0253] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:18:0318] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:18:0464] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:18:0536] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:18:0720] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:18:0874] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:18:0934] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:19:0067] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:19:0139] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:19:0304] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:19:0456] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:19:0527] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:19:0685] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:19:0813] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:19:0875] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:19:0952] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:20:0071] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:20:0147] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:20:0274] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:20:0333] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:20:0479] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:20:0532] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:20:0666] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:20:0744] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:20:0920] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:21:0042] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:21:0091] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:21:0151] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:21:0302] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:21:0454] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:21:0508] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:21:0565] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:21:0691] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:21:0752] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:21:0866] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:21:0944] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:22:0058] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:22:0160] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:22:0310] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:22:0480] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:22:0533] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:22:0675] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:22:0724] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:22:0884] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:22:0969] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:23:0098] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:23:0184] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:23:0340] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:23:0483] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:23:0556] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:23:0717] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:23:0772] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:23:0926] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:24:0057] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:24:0112] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:24:0173] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:24:0335] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:24:0519] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:24:0592] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:24:0737] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:24:0792] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:24:0952] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:25:0006] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:25:0175] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:25:0312] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:25:0361] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:25:0500] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:25:0555] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:25:0610] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:25:0742] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:25:0797] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:25:0937] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:26:0008] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:26:0187] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:26:0331] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:26:0386] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:26:0536] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:26:0580] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:26:0713] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:26:0787] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:26:0923] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:26:0984] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:27:0133] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:27:0188] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:27:0320] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:27:0397] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:27:0513] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:27:0588] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:27:0738] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:27:0793] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:27:0927] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:27:0998] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:28:0060] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:28:0125] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:28:0190] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:28:0245] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:28:0316] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:28:0826] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:28:0842] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:28:0856] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:29:0415] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:29:0420] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:29:0441] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:29:0445] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 16:58:39:0346] | CInterfaceManager.cpp-L2846: delete one DataNode
