[2017-11-06 11:00:20:0010] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(1020002)
[2017-11-06 11:00:21:0272] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-06 11:00:22:0402] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:22:0465] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:22:0595] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:22:0667] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:22:0804] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:22:0866] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:23:0002] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:23:0064] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:23:0195] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:23:0267] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:23:0391] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:23:0468] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:23:0594] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:23:0666] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:23:0792] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:23:0869] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:23:0996] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:24:0058] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:24:0197] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:24:0259] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:24:0398] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:24:0460] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:24:0596] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:24:0668] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:24:0794] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:24:0862] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:25:0001] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:25:0063] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:25:0198] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:25:0261] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:25:0396] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:25:0458] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:25:0593] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:25:0660] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:25:0795] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:25:0857] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:25:0996] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:26:0058] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:26:0193] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:26:0256] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:26:0396] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:26:0458] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:26:0593] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:26:0655] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:26:0794] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:26:0856] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:26:0990] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:27:0062] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:27:0191] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:27:0263] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:27:0387] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:27:0464] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 11:00:27:0598] | CInterfaceManager.cpp-L2846: delete one DataNode
