[2017-11-06 18:38:37:0567] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(1020002)
[2017-11-06 18:38:38:0828] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-06 18:38:39:0954] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:40:0016] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:40:0159] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:40:0219] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:40:0354] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:40:0416] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:40:0552] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:40:0624] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:40:0751] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:40:0824] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:40:0949] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:41:0021] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:41:0157] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:41:0220] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:41:0354] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:41:0416] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:41:0552] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:41:0619] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:41:0755] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:41:0817] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:41:0953] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:42:0016] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:42:0156] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:42:0218] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:42:0353] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:42:0415] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:42:0550] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:42:0622] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:42:0752] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:42:0815] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:42:0950] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:43:0012] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:43:0151] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:43:0224] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:43:0348] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:43:0420] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:43:0554] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:43:0617] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:43:0756] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:43:0838] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:43:0954] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:44:0017] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:44:0147] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:44:0219] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:44:0353] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:44:0415] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:44:0549] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:44:0640] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:44:0753] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:44:0815] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:44:0953] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:45:0016] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:45:0150] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:45:0212] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:45:0351] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:45:0414] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:45:0548] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:45:0616] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:45:0756] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:45:0816] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:45:0955] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:46:0018] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:46:0152] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:46:0214] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:46:0348] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:46:0415] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:46:0548] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:46:0610] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:46:0751] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:46:0819] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:46:0944] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:47:0017] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:47:0146] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:47:0218] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:47:0343] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:47:0421] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:47:0544] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:47:0607] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:47:0746] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:47:0819] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:47:0942] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:48:0014] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:48:0142] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:48:0223] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:48:0348] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:48:0410] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:48:0547] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:48:0610] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:48:0748] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:48:0811] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:48:0883] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:49:0013] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:49:0086] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:49:0211] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:49:0283] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:49:0409] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:49:0476] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:49:0609] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:49:0676] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:49:0835] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:49:0875] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:50:0011] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:50:0073] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:50:0212] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:50:0274] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:50:0415] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:50:0477] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:50:0614] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:50:0676] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:50:0812] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:50:0874] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-06 18:38:51:0011] | CInterfaceManager.cpp-L2846: delete one DataNode
