[2018-01-22 15:13:59:0804] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(1020002)
[2018-01-22 15:14:01:0049] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2018-01-22 15:14:25:0685] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:14:28:0417] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:14:31:0142] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:14:34:0208] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:14:37:0135] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:14:40:0267] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:14:43:0000] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:14:46:0063] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:14:49:0057] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:14:51:0989] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:14:54:0787] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:14:57:0716] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:00:0322] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:03:0180] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:05:0709] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:08:0312] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:10:0970] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:13:0901] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:17:0033] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:20:0096] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:22:0891] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:25:0622] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:28:0688] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:31:0486] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:34:0349] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:37:0078] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:39:0942] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:43:0141] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:46:0139] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:49:0268] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:52:0265] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:55:0128] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:15:57:0991] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:00:0990] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:04:0053] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:06:0918] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:09:0780] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:13:0243] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:16:0107] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:16:0534] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:16:0538] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:16:0551] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:16:0559] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:16:0576] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:16:0643] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:16:0735] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:16:0782] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:16:0839] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:16:0911] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:16:0978] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:17:0045] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:17:0112] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:17:0174] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:17:0241] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:17:0309] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:17:0376] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:17:0443] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:17:0510] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:17:0572] | CInterfaceManager.cpp-L2846: delete one DataNode
[2018-01-22 15:16:17:0639] | CInterfaceManager.cpp-L2846: delete one DataNode
