[2017-11-02 17:05:40:0173] | CInterfaceManager.cpp-L3028: CamCtrl[2000001], GigE SDKVersion(1020001), DriverVersion(0)
[2017-11-02 17:05:41:0601] |         XmlParse.cpp-L2051: GetNodeValue [ResultingFrameRate], Unknow Exception
[2017-11-02 17:06:10:0736] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:10:0813] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:10:0875] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:10:0969] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:11:0039] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:11:0115] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:11:0187] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:11:0253] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:11:0353] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:11:0436] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:11:0496] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:11:0587] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:11:0658] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:11:0752] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:11:0823] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:11:0889] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:11:0962] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:12:0045] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:12:0151] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:12:0223] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:12:0289] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:12:0367] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:12:0427] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:12:0493] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:12:0566] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:12:0649] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:12:0726] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:12:0810] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:12:0882] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:12:0972] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:13:0056] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:13:0155] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:13:0238] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:13:0334] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:13:0410] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:13:0489] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:13:0567] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:13:0637] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:13:0702] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:13:0781] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:13:0840] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:13:0939] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:14:0022] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:14:0110] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:14:0194] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:14:0274] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:14:0346] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:14:0417] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:14:0512] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:14:0568] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:14:0650] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:14:0710] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:14:0799] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:14:0883] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:14:0966] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:15:0043] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:15:0127] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:15:0194] | CInterfaceManager.cpp-L2846: delete one DataNode
[2017-11-02 17:06:15:0262] | CInterfaceManager.cpp-L2846: delete one DataNode
